PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,IsAlone,Family_Survival,Sex_Code,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_X
1137,,1,41.0,1,0,51.8625,2,0,1.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1138,,2,22.0,0,0,21.0,1,1,0.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1139,,2,42.0,1,1,32.5,3,0,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1140,,2,29.0,1,0,26.0,2,0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1141,,3,27.537206649780273,1,0,14.4542,2,0,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1142,,2,0.92,1,2,27.75,4,0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1143,,3,20.0,0,0,7.925,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1144,,1,27.0,1,0,136.7792,2,0,0.5,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1145,,3,24.0,0,0,9.325,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1146,,3,32.5,0,0,9.5,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1147,,3,28.0058536529541,0,0,7.55,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1148,,3,28.0058536529541,0,0,7.75,1,1,0.5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1149,,3,28.0,0,0,8.05,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1150,,2,19.0,0,0,13.0,1,1,0.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1151,,3,21.0,0,0,7.775,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1152,,3,36.5,1,0,17.4,2,0,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1153,,3,21.0,0,0,7.8542,1,1,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1154,,2,29.0,0,2,23.0,3,0,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1155,,3,1.0,1,1,12.1833,3,0,0.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1156,,2,30.0,0,0,12.7375,1,1,0.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1157,,3,28.0058536529541,0,0,7.8958,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1158,,1,40.9089469909668,0,0,0.0,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1159,,3,28.0058536529541,0,0,7.55,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1160,,3,28.0058536529541,0,0,8.05,1,1,0.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1161,,3,17.0,0,0,8.6625,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1162,,1,46.0,0,0,75.2417,1,1,0.5,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1163,,3,28.0058536529541,0,0,7.75,1,1,0.5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1164,,1,26.0,1,0,136.7792,2,0,0.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1165,,3,26.351966857910156,1,0,15.5,2,0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1166,,3,28.0058536529541,0,0,7.225,1,1,0.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1167,,2,20.0,1,0,26.0,2,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1168,,2,28.0,0,0,10.5,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1169,,2,40.0,1,0,26.0,2,0,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1170,,2,30.0,1,0,21.0,2,0,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1171,,2,22.0,0,0,10.5,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1172,,3,23.0,0,0,8.6625,1,1,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1173,,3,0.75,1,1,13.775,3,0,0.5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1174,,3,28.0058536529541,0,0,7.75,1,1,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1175,,3,9.0,1,1,15.2458,3,0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1176,,3,2.0,1,1,20.2125,3,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1177,,3,36.0,0,0,7.25,1,1,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1178,,3,28.0058536529541,0,0,7.25,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1179,,1,24.0,1,0,82.2667,2,0,0.5,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1180,,3,28.0058536529541,0,0,7.2292,1,1,0.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1181,,3,28.0058536529541,0,0,8.05,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1182,,1,40.9089469909668,0,0,39.6,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1183,,3,30.0,0,0,6.95,1,1,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1184,,3,28.0058536529541,0,0,7.2292,1,1,0.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1185,,1,53.0,1,1,81.8583,3,0,1.0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1186,,3,36.0,0,0,9.5,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1187,,3,26.0,0,0,7.8958,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1188,,2,1.0,1,2,41.5792,4,0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1189,,3,23.706615447998047,2,0,21.6792,3,0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1190,,1,30.0,0,0,45.5,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1191,,3,29.0,0,0,7.8542,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1192,,3,32.0,0,0,7.775,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1193,,2,32.56178283691406,0,0,15.0458,1,1,0.5,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1194,,2,43.0,0,1,21.0,2,0,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1195,,3,24.0,0,0,8.6625,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1196,,3,28.0058536529541,0,0,7.75,1,1,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1197,,1,64.0,1,1,26.55,3,0,0.5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1198,,1,30.0,1,2,151.55,4,0,1.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1199,,3,0.83,0,1,9.35,2,0,1.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1200,,1,55.0,1,1,93.5,3,0,1.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1201,,3,45.0,1,0,14.1083,2,0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1202,,3,18.0,0,0,8.6625,1,1,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1203,,3,22.0,0,0,7.225,1,1,0.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1204,,3,28.0058536529541,0,0,7.575,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1205,,3,37.0,0,0,7.75,1,1,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1206,,1,55.0,0,0,135.6333,1,1,1.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1207,,3,17.0,0,0,7.7333,1,1,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1208,,1,57.0,1,0,146.5208,2,0,1.0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1209,,2,19.0,0,0,10.5,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1210,,3,27.0,0,0,7.8542,1,1,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1211,,2,22.0,2,0,31.5,3,0,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1212,,3,26.0,0,0,7.775,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1213,,3,25.0,0,0,7.2292,1,1,0.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1214,,2,26.0,0,0,13.0,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1215,,1,33.0,0,0,26.55,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1216,,1,39.0,0,0,211.3375,1,1,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1217,,3,23.0,0,0,7.05,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1218,,2,12.0,2,1,39.0,4,0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1219,,1,46.0,0,0,79.2,1,1,1.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1220,,2,29.0,1,0,26.0,2,0,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1221,,2,21.0,0,0,13.0,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1222,,2,48.0,0,2,36.75,3,0,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1223,,1,39.0,0,0,29.7,1,1,0.5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1224,,3,28.0058536529541,0,0,7.225,1,1,0.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1225,,3,19.0,1,1,15.7417,3,0,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1226,,3,27.0,0,0,7.8958,1,1,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1227,,1,30.0,0,0,26.0,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1228,,2,32.0,0,0,13.0,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1229,,3,39.0,0,2,7.2292,3,0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1230,,2,25.0,0,0,31.5,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1231,,3,28.0058536529541,0,0,7.2292,1,1,0.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1232,,2,18.0,0,0,10.5,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1233,,3,32.0,0,0,7.5792,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1234,,3,40.2235107421875,1,9,69.55,11,0,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1235,,1,58.0,0,1,512.3292,2,0,1.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1236,,3,18.50043296813965,1,1,14.5,3,0,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1237,,3,16.0,0,0,7.65,1,1,0.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1238,,2,26.0,0,0,13.0,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1239,,3,38.0,0,0,7.2292,1,1,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1240,,2,24.0,0,0,13.5,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1241,,2,31.0,0,0,21.0,1,1,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1242,,1,45.0,0,1,63.3583,2,0,1.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1243,,2,25.0,0,0,10.5,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1244,,2,18.0,0,0,73.5,1,1,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1245,,2,49.0,1,2,65.0,4,0,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1246,,3,0.17,1,2,20.575,4,0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1247,,1,50.0,0,0,26.0,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1248,,1,59.0,2,0,51.4792,3,0,1.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1249,,3,28.0058536529541,0,0,7.8792,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1250,,3,28.0058536529541,0,0,7.75,1,1,0.5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1251,,3,30.0,1,0,15.55,2,0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1252,,3,14.5,8,2,69.55,11,0,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1253,,2,24.0,1,1,37.0042,3,0,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1254,,2,31.0,0,0,21.0,1,1,0.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1255,,3,27.0,0,0,8.6625,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1256,,1,25.0,1,0,55.4417,2,0,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1257,,3,40.2235107421875,1,9,69.55,11,0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1258,,3,26.351966857910156,1,0,14.4583,2,0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1259,,3,22.0,0,0,39.6875,1,1,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1260,,1,45.0,0,1,59.4,2,0,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1261,,2,29.0,0,0,13.8583,1,1,0.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1262,,2,21.0,1,0,11.5,2,0,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1263,,1,31.0,0,0,134.5,1,1,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1264,,1,49.0,0,0,0.0,1,1,0.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1265,,2,44.0,0,0,13.0,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1266,,1,54.0,1,1,81.8583,3,0,1.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1267,,1,45.0,0,0,262.375,1,1,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1268,,3,22.0,2,0,8.6625,3,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1269,,2,21.0,0,0,11.5,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1270,,1,55.0,0,0,50.0,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1271,,3,5.0,4,2,31.3875,7,0,1.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1272,,3,26.820613861083984,0,0,7.75,1,1,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1273,,3,26.0,0,0,7.8792,1,1,0.5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1274,,3,26.820613861083984,0,0,14.5,1,1,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1275,,3,19.0,1,0,16.1,2,0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1276,,2,32.56178283691406,0,0,12.875,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1277,,2,24.0,1,2,65.0,4,0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1278,,3,24.0,0,0,7.775,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1279,,2,57.0,0,0,13.0,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1280,,3,21.0,0,0,7.75,1,1,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1281,,3,6.0,3,1,21.075,5,0,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1282,,1,23.0,0,0,93.5,1,1,1.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1283,,1,51.0,0,1,39.4,2,0,1.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1284,,3,13.0,0,2,20.25,3,0,1.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1285,,2,47.0,0,0,10.5,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1286,,3,29.0,3,1,22.025,5,0,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1287,,1,18.0,1,0,60.0,2,0,0.5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1288,,3,24.0,0,0,7.25,1,1,0.5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1289,,1,48.0,1,1,79.2,3,0,1.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1290,,3,22.0,0,0,7.775,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1291,,3,31.0,0,0,7.7333,1,1,0.5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1292,,1,30.0,0,0,164.8667,1,1,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1293,,2,38.0,1,0,21.0,2,0,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1294,,1,22.0,0,1,59.4,2,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1295,,1,17.0,0,0,47.1,1,1,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1296,,1,43.0,1,0,27.7208,2,0,0.5,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1297,,2,20.0,0,0,13.8625,1,1,0.5,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1298,,2,23.0,1,0,10.5,2,0,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1299,,1,50.0,1,1,211.5,3,0,0.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1300,,3,28.0058536529541,0,0,7.7208,1,1,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1301,,3,3.0,1,1,13.775,3,0,0.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1302,,3,28.0058536529541,0,0,7.75,1,1,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1303,,1,37.0,1,0,90.0,2,0,1.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1304,,3,28.0,0,0,7.775,1,1,0.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1305,,3,28.0058536529541,0,0,8.05,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1306,,1,39.0,0,0,108.9,1,1,1.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1307,,3,38.5,0,0,7.25,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1308,,3,28.0058536529541,0,0,8.05,1,1,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1309,,3,17.89824867248535,1,1,22.3583,3,0,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
